,P@K,Singular,Plural,Paired Accuracy,Paried Consistency,mask_type,data_dir
0,1,24.4,24.7,21.5,94.0,lsp_dap,data/clsb/consistency/
1,10,60.5,59.5,55.800000000000004,91.60000000000001,lsp_dap,data/clsb/consistency/
